,name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation,States,Counties
38299,Western Arkansas,24248,Valid,"Iron, IVA",1750.0,Found,1890.0,35.0,-94.0,"(35.0, -94.0)",15.0,1001.0
38300,White Elephant,24252,Valid,L4,10.4,Found,1997.0,35.89,-114.20333,"(35.89, -114.20333)",7.0,8.0
38301,White Hills,24253,Valid,Mesosiderite,11.7,Found,1999.0,35.85667,-114.22333,"(35.85667, -114.22333)",7.0,8.0
38303,Whitman,24254,Valid,H5,221.0,Found,1937.0,42.03333,-101.5,"(42.03333, -101.5)",19.0,2255.0
38305,Wichita,24256,Valid,H6,2367.0,Found,1971.0,37.59183,-97.21497,"(37.59183, -97.21497)",17.0,1291.0
38306,Wichita County,24257,Valid,"Iron, IAB-MG",145000.0,Found,1836.0,34.06667,-98.91667,"(34.06667, -98.91667)",23.0,2960.0
38307,Wickenburg (stone),24258,Valid,L6,9200.0,Found,1940.0,33.96667,-112.73333,"(33.96667, -112.73333)",7.0,989.0
38309,Wikieup,24260,Valid,H5,372.0,Found,1965.0,34.7,-113.6,"(34.7, -113.6)",7.0,8.0
38311,Wilburton,24262,Valid,H5,207.8,Found,1940.0,37.08333,-101.76667,"(37.08333, -101.76667)",17.0,1249.0
38312,Wild Horse,24264,Valid,H5,1360.0,Found,1979.0,39.41667,-103.2,"(39.41667, -103.2)",9.0,30.0
38314,Wildcat Peak,24266,Valid,H5,202.0,Found,1998.0,32.56533,-111.7255,"(32.56533, -111.7255)",7.0,943.0
38315,Wilder,24267,Valid,H5,26600.0,Found,1982.0,43.72444,-116.91167,"(43.72444, -116.91167)",5.0,1692.0
38316,Wiley,24268,Valid,"Iron, IIC",3500.0,Found,1938.0,38.15,-102.66667,"(38.15, -102.66667)",9.0,1064.0
38317,Willamette,24269,Valid,"Iron, IIIAB",15500000.0,Found,1902.0,45.36667,-122.58333,"(45.36667, -122.58333)",12.0,2317.0
38318,Willard (a),24270,Valid,L6,800.0,Found,1978.0,34.43333,-105.78333,"(34.43333, -105.78333)",11.0,616.0
38319,Willard (b),24271,Valid,H3.6,12700.0,Found,1934.0,34.5,-105.83333,"(34.5, -105.83333)",11.0,616.0
38321,Willcox Playa,24273,Valid,H4,61.5,Found,1979.0,32.125,-109.83333,"(32.125, -109.83333)",7.0,5.0
38322,Willcox Playa 002,24274,Valid,L6,12.0,Found,2001.0,32.18167,-109.7895,"(32.18167, -109.7895)",7.0,5.0
38323,Willcox Playa 004,51581,Valid,L6,19.9,Found,2004.0,32.14202,-109.82423,"(32.14202, -109.82423)",7.0,5.0
38324,Willcox Playa 005,51582,Valid,H5,278.4,Found,2004.0,32.0939,-109.88412,"(32.0939, -109.88412)",7.0,5.0
38325,Willcox Playa 006,51583,Valid,H6,3.1,Found,2004.0,32.11288,-109.89265,"(32.11288, -109.89265)",7.0,5.0
38326,Willcox Playa 007,51584,Valid,L6,62.4,Found,2004.0,32.18843,-109.84563,"(32.18843, -109.84563)",7.0,5.0
38327,Willcox Playa 009,52851,Valid,Mesosiderite,160.0,Found,2009.0,32.07667,-109.8455,"(32.07667, -109.8455)",7.0,5.0
38328,Williston,24275,Valid,"Iron, IIIAB",7645.0,Found,1962.0,47.98333,-103.65,"(47.98333, -103.65)",3.0,2420.0
38329,Willow Creek,24276,Valid,"Iron, IIIE",51000.0,Found,1914.0,43.46667,-106.76667,"(43.46667, -106.76667)",14.0,891.0
38331,Willow Wash,47353,Valid,H3.5,552.0,Found,2006.0,35.37358,-115.34388,"(35.37358, -115.34388)",8.0,78.0
38332,Willowbar,24278,Valid,L6,2070.0,Found,1971.0,36.73333,-102.2,"(36.73333, -102.2)",20.0,2713.0
38333,Willowdale,24279,Valid,H4,3000.0,Found,1951.0,37.53333,-98.36667,"(37.53333, -98.36667)",17.0,323.0
38334,Wilmot,24280,Valid,H6,2000.0,Found,1944.0,37.38333,-96.86667,"(37.38333, -96.86667)",17.0,1939.0
38336,Wimberley,24282,Valid,"Iron, IIIAB",7800.0,Found,1976.0,29.96667,-98.11667,"(29.96667, -98.11667)",23.0,755.0
38340,Winona,24285,Valid,Winonaite,24000.0,Found,1928.0,35.2,-111.4,"(35.2, -111.4)",7.0,986.0
38341,Winterhaven,47732,Valid,Howardite,2100.0,Found,2002.0,32.95,-114.666667,"(32.95, -114.666667)",8.0,1190.0
38376,Withrow,24320,Valid,"Iron, IIIAB?",8732.0,Found,1950.0,47.70667,-119.83,"(47.70667, -119.83)",6.0,2979.0
38378,Wolsey,24328,Valid,"Iron, IAB-MG",74830.0,Found,1981.0,44.4,-98.53333,"(44.4, -98.53333)",21.0,661.0
38381,Woodbine,24330,Valid,"Iron, IAB-ung",48200.0,Found,1953.0,42.34667,-90.1675,"(42.34667, -90.1675)",34.0,1714.0
38382,Wood's Mountain,24332,Valid,"Iron, IVA",3867.0,Found,1918.0,35.68333,-82.18333,"(35.68333, -82.18333)",37.0,2392.0
38383,Woodward County,24333,Valid,H4,45500.0,Found,1923.0,36.5,-99.5,"(36.5, -99.5)",20.0,718.0
38385,Wooster,24336,Valid,"Iron, IAB-sLL",22700.0,Found,1858.0,40.76667,-81.95,"(40.76667, -81.95)",38.0,601.0
